company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
LX인터내셔널,1120,120076,2024,CFS,ok,16637572685167.0,489185373375.0,269491720840.0,8930865616216.0,5611254021107.0,3319611595109.0,비금융업
NAVER,35420,266961,2022,CFS,ok,8220078708810.0,1304664410543.0,673180300087.0,33899042889136.0,10448720408685.0,23450322480451.0,비금융업
NAVER,35420,266961,2023,CFS,ok,9670643576585.0,1488820269608.0,985017762493.0,35737826964395.0,11499828148842.0,24237998815553.0,비금융업
NAVER,35420,266961,2024,CFS,ok,10737719264647.0,1979263438827.0,1931976372953.0,38167876036020.0,11166964187683.0,27000911848337.0,비금융업
POSCO홀딩스,5490,155319,2022,CFS,ok,8589818952952.0,4850053015766.0,3560483538695.0,98406780635254.0,40149380046004.0,58257400589250.0,비금융업
POSCO홀딩스,5490,155319,2023,CFS,ok,77127197108585.0,3531422506439.0,1845849532200.0,100945394185079.0,41281496791611.0,59663897393468.0,비금융업
POSCO홀딩스,5490,155319,2024,CFS,ok,72688143160111.0,2173573272904.0,947580322052.0,103404198997805.0,41953831078121.0,61450367919684.0,비금융업
S-Oil,10950,138279,2022,CFS,ok,42446028000000.0,3405166000000.0,2104387000000.0,19613135000000.0,11129666000000.0,8483469000000.0,비금융업
S-Oil,10950,138279,2023,CFS,ok,35726694000000.0,1354582000000.0,948848000000.0,21576123000000.0,12538558000000.0,9037565000000.0,비금융업
S-Oil,10950,138279,2024,CFS,ok,36637031000000.0,422177000000.0,-193042000000.0,24451433000000.0,15755786000000.0,8695647000000.0,비금융업
SGC에너지,5090,125150,2022,CFS,ok,2823334065836.0,209400218379.0,148411627493.0,3054362176494.0,2187874937878.0,866487238616.0,비금융업
SGC에너지,5090,125150,2023,CFS,ok,3024051635225.0,106822963776.0,17169648910.0,2967510633959.0,2098714440145.0,868796193814.0,비금융업
SGC에너지,5090,125150,2024,CFS,ok,2354993052127.0,189611637907.0,35894883016.0,3436299886778.0,2548064349819.0,888235536959.0,비금융업
SG글로벌,1380,152039,2022,CFS,ok,67661514915.0,-1441946513.0,-2445648212.0,185935448420.0,64775255814.0,121160192606.0,비금융업
SG글로벌,1380,152039,2023,CFS,ok,96577221552.0,6606303384.0,20175100732.0,198246797314.0,57195063606.0,141051733708.0,비금융업
SG글로벌,1380,152039,2024,CFS,ok,99434870010.0,6154463640.0,6316098065.0,199881677024.0,50176243098.0,149705433926.0,비금융업
SK네트웍스,1740,131780,2022,CFS,ok,9666446000000.0,154211000000.0,90765000000.0,9499259000000.0,7048547000000.0,2450712000000.0,비금융업
SK네트웍스,1740,131780,2023,CFS,ok,9133867000000.0,237283000000.0,5459000000.0,9110359000000.0,6954518000000.0,2155841000000.0,비금융업
SK네트웍스,1740,131780,2024,CFS,ok,7657281000000.0,113915000000.0,46292000000.0,5157129000000.0,3103820000000.0,2053309000000.0,비금융업
SK이노베이션,96770,631518,2022,CFS,ok,78056939448000.0,3917340789000.0,1895179127000.0,67218924277000.0,43976612895000.0,23242311382000.0,비금융업
SK이노베이션,96770,631518,2023,CFS,ok,77288485864000.0,1903886320000.0,554894277000.0,80835513251000.0,50815545738000.0,30019967513000.0,비금융업
